symbol,start,start_rsi,start_heat,start_macd,end,end_reason,gain,duration_min,success_gain,success_structural,failure
BEATUSDT,2025-12-01 06:42:59.918616+00:00,42.744240827543756,8.8,,2025-12-01 06:43:46.416147+00:00,timeout,-0.37257824143070667,0.7749588500000001,False,False,True
SQDUSDT,2025-12-01 06:37:05.611222+00:00,42.62604009611649,11.0,,2025-12-01 06:57:42.271618+00:00,timeout,0.2517532817838541,20.6110066,False,False,True
PIPPINUSDT,2025-12-01 06:42:59.918616+00:00,43.745394226250944,25.1,,2025-12-01 07:03:16.095015+00:00,price_drop_stop,0.14783526927137483,20.26960665,False,False,True
BANANAS31USDT,2025-12-01 07:04:50.545170+00:00,42.87452990239352,23.5,,2025-12-01 07:06:33.050159+00:00,price_drop_stop,-2.8947368421052593,1.7084164833333333,False,False,True
ICPUSDT,2025-12-01 06:42:59.918616+00:00,51.72142920164342,41.4,,2025-12-01 07:08:26.290815+00:00,timeout,-1.508916323731143,25.439536649999997,False,False,True
RIVERUSDT,2025-12-01 07:21:18.176985+00:00,52.828697397037594,10.4,,2025-12-01 07:47:50.717527+00:00,price_drop_stop,-2.2667369530838126,26.542342366666666,False,False,True
PARTIUSDT,2025-12-01 06:53:58.167798+00:00,46.39147044307478,15.0,,2025-12-01 07:53:31.847647+00:00,timeout,3.18663169144079,59.56133081666667,True,False,True
USELESSUSDT,2025-12-01 07:26:57.705840+00:00,49.28722956891358,34.3,,2025-12-01 07:53:33.057267+00:00,timeout,-0.7968127490039931,26.58919045,False,False,True
4USDT,2025-12-01 07:26:57.705840+00:00,48.679691123158264,20.5,,2025-12-01 07:53:34.221635+00:00,timeout,-0.7344300822561698,26.608596583333334,False,False,True
FFUSDT,2025-12-01 07:49:24.227763+00:00,50.15141617621231,28.9,,2025-12-01 08:16:38.249373+00:00,timeout,0.27995520716684835,27.2336935,False,False,True
CAKEUSDT,2025-12-01 07:55:05.900879+00:00,54.890878168836764,20.6,,2025-12-01 08:22:13.215183+00:00,timeout,0.3728362183754977,27.121905066666667,False,False,True
RIVERUSDT,2025-12-01 07:55:05.900879+00:00,50.4206083684345,12.3,,2025-12-01 08:28:06.931977+00:00,timeout,-0.39872408293461253,33.01718496666667,False,False,True
GIGGLEUSDT,2025-12-01 07:55:05.900879+00:00,40.06474521666358,7.8,,2025-12-01 08:45:08.028207+00:00,timeout,0.7890222984562623,50.03545546666667,False,False,True
ASTERUSDT,2025-12-01 08:35:09.788324+00:00,47.497770863334814,7.8,,2025-12-01 09:02:00.275709+00:00,timeout,0.05989219405070213,26.841456416666666,False,False,True
PUMPUSDT,2025-12-01 08:35:09.788324+00:00,40.915076456798445,9.9,,2025-12-01 09:02:02.290285+00:00,timeout,0.07415647015201453,26.875032683333334,False,False,True
ATUSDT,2025-12-01 09:03:37.083044+00:00,52.20555108649408,22.4,,2025-12-01 09:18:39.547676+00:00,price_drop_stop,-2.3987206823027596,15.0410772,False,False,True
AIAUSDT,2025-12-01 08:41:07.534295+00:00,41.57788171831736,18.1,,2025-12-01 09:24:25.977435+00:00,timeout,1.284246575342467,43.30738566666666,True,False,True
BEATUSDT,2025-12-01 08:52:00.137595+00:00,48.097548340015436,20.2,,2025-12-01 09:24:28.071102+00:00,timeout,0.5426686529048727,32.465558449999996,False,False,True
FARTCOINUSDT,2025-12-01 06:37:05.611222+00:00,40.03069616459385,16.2,,,still_active,,,False,True,False
SUIUSDT,2025-12-01 07:38:27.993987+00:00,37.527037305945356,19.7,,,still_active,,,False,True,False
TAOUSDT,2025-12-01 08:06:32.499787+00:00,45.210326530337255,6.9,,,still_active,,,False,True,False
WIFUSDT,2025-12-01 08:29:36.932823+00:00,44.091219482022105,16.1,,,still_active,,,False,True,False
DASHUSDT,2025-12-01 08:57:39.216792+00:00,52.8045982887918,18.1,,,still_active,,,False,True,False
PIPPINUSDT,2025-12-01 09:20:09.739619+00:00,50.3407195326245,23.8,,,still_active,,,False,True,False
GIGGLEUSDT,2025-12-01 09:36:53.858285+00:00,48.25609044846777,15.2,,,still_active,,,False,True,False
